steps,train_accuracy,validation_accuracy
26.0,0.5371951219512195,0.5804597701149425
52.0,0.6664634146341464,0.7183908045977011
78.0,0.7280487804878049,0.7298850574712644
104.0,0.7408536585365854,0.7097701149425287
130.0,0.7585365853658537,0.7241379310344828
156.0,0.7878048780487805,0.7528735632183908
182.0,0.8201219512195121,0.75
208.0,0.8384146341463414,0.7298850574712644
234.0,0.8707317073170732,0.7471264367816092
260.0,0.8780487804878049,0.7241379310344828
286.0,0.9219512195121952,0.6982758620689655
312.0,0.9414634146341463,0.7126436781609196
338.0,0.9664634146341463,0.7011494252873564
364.0,0.9768292682926829,0.7183908045977011
390.0,0.9713414634146341,0.6810344827586207
416.0,0.9786585365853658,0.7040229885057471
442.0,0.9847560975609756,0.6810344827586207
468.0,0.9963414634146341,0.6954022988505747
494.0,0.998780487804878,0.7040229885057471
520.0,0.999390243902439,0.7011494252873564
546.0,0.999390243902439,0.6867816091954023
572.0,0.9951219512195122,0.6810344827586207
598.0,0.9975609756097561,0.7068965517241379
624.0,0.9981707317073171,0.7126436781609196
650.0,1.0,0.7126436781609196
